"Date","Transaction Status","Account Type","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (INR)"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-9824336-6647503","DeoDap 3 Pair Reusable Household Rubber ...","91.53","0","-53.1","15.91","54.34"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-8336827-7818728","Flymaster Pubg Anti-Slip Thumb Sleeve, S...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-9199467-5702723","Powerland Upgraded Polypropylene Leakpro...","52.63","0","-53.1","9.15","8.68"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-8897250-7569167","6 Piece - Bufferman Premium Acoustic Gui...","76.27","0","-63.72","13.27","25.82"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-0228268-7539500","National 1"+2"+3" Paint Brush with PVC H...","70.17","0","-53.1","12.2","29.27"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-4586521-1251563","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-8917447-0580321","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-8998254-4961109","Sparkle Cotton Thin Check Print Hand and...","59.32","0","-53.1","10.31","16.53"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-0141337-8797908","DeoDap 3 Pair Reusable Household Rubber ...","91.53","0","-53.1","15.91","54.34"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-8506166-0295525","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-4327961-0500324","Tap Aqua RO With Washers + Nozzle Closur...","61.02","0","-53.1","10.6","18.52"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-9844988-2376344","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-7449256-7431536","Giftswrap Wooden Handmde Incense/dhoop b...","167.8","0","-106.2","29.19","90.79"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-9067846-8035509","Vow Nylon Scrubber (Pack of 6)","75.51","0","-53.1","13.13","35.54"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-0840420-8417130","IONIX Wire stripper, Wire cutter, Wire s...","215.07","0","-159.3","37.43","93.2"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7697768-2572347","Vow Nylon Scrubber (Pack of 6)","75.51","0","-53.1","13.13","35.54"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-1732570-7262739","Yogee Enterprise Zeenu Creation Blender ...","83.14","0","-53.1","14.45","44.49"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-3743362-6559532","Sparkle Cotton Thin Check Print Hand and...","59.32","0","-53.1","10.31","16.53"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-6884739-9124336","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-6277528-2775515","Robocraze PS2 Joystick Module Breakout S...","61.02","0","-53.1","10.6","18.52"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-3735424-3280351","Black Colored Cello Tape 2 inch/48mm x 6...","41.95","0","-53.1","7.29","-3.86"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-9364747-8587567","Giftswrap Wooden Handmde Incense/dhoop b...","83.9","0","-53.1","14.59","45.39"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-9935395-5449910","Professional Apple Slicer, Corer, Cutter...","75.51","0","-53.1","13.13","35.54"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-1385378-0951523","Sparkle Cotton Thin Check Print Hand and...","59.32","0","-53.1","10.32","16.54"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-7965650-1027543","NATARAJ Lead Pointz 0.7mm 2BH Refill for...","71.69","0","-53.1","12.47","31.06"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-1199995-7780314","LYFTEX Wooden Sambrani DhoopBatti Stand ...","167.8","0","-106.2","29.19","90.79"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-8200017-5186733","Vow Nylon Scrubber (Pack of 6)","75.51","0","-53.1","13.13","35.54"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-2583800-9206701","Tap Aqua RO With Washers + Nozzle Closur...","61.02","0","-53.1","10.6","18.52"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-6982041-1771532","Pathavi Disposable Sink Drain Strainer M...","67.88","0","-53.1","11.8","26.58"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-2641494-8362752","Sparkle Cotton Thin Check Print Hand and...","59.32","0","-53.1","10.31","16.53"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7638994-4665166","Careswipe Paper Cups 50 Pcs, Disposable ...","71.69","0","-53.1","12.47","31.06"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7062307-5802746","Wooden Serving and Cooking Spoons Set Ki...","53.39","0","-53.1","9.28","9.57"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-9751486-3805139","Giftswrap Wooden Handmde Incense/dhoop b...","83.9","0","-53.1","14.59","45.39"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-0798025-6481933","Powerland Upgraded Polypropylene Leakpro...","52.63","0","-53.1","9.15","8.68"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-8621851-1465149","Pathavi Stainless Steel Adhesive Wall-Mo...","60.26","0","-53.1","10.47","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-9167169-0704340","Wooden Serving and Cooking Spoons Set Ki...","53.39","0","-53.1","9.28","9.57"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-9717900-9312345","Vow Nylon Scrubber (Pack of 6)","151.02","0","-106.2","26.26","71.08"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-1342916-6048350","Wooden Serving and Cooking Spoons Set Ki...","53.39","0","-53.1","9.28","9.57"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-2303576-1223513","Wooden Serving and Cooking Spoons Set Ki...","53.39","0","-53.1","9.28","9.57"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-5369868-7945111","Pathavi Stainless Steel Adhesive Wall-Mo...","60.25","0","-53.1","10.48","17.63"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-2584028-3663501","DeoDap 3 Pair Reusable Household Rubber ...","183.04","0","-106.2","31.85","108.69"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-4205213-0880351","LYFTEX Wooden Sambrani DhoopBatti Stand ...","83.9","0","-53.1","14.59","45.39"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-4632220-2584345","Sparkle Cotton Thin Check Print Hand and...","118.64","0","-106.2","20.64","33.08"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-8048953-2864345","National 1"+2"+3" Paint Brush with PVC H...","70.16","0","-53.1","12.2","29.26"
"20/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-1978770-5259551","6 Piece - Bufferman Premium Acoustic Gui...","76.27","0","-63.72","13.27","25.82"
